timestamp_us;adc_raw;voltage_V;field_mT
5741539;1664;1.475;74,3
5743796;1648;1.461;79,44
5746053;1680;1.489;69,15
5748309;1665;1.476;73,97
5750566;1681;1.490;68,83
5752823;1649;1.462;79,12
5755079;1664;1.475;74,3
5757336;1665;1.476;73,97
5759593;1665;1.476;73,97
5761850;1665;1.476;73,97
5764106;1648;1.461;79,44
5766363;1665;1.476;73,97
5768620;1649;1.462;79,12
5770877;1665;1.476;73,97
5773133;1681;1.490;68,83
5775390;1681;1.490;68,83
5777647;1665;1.476;73,97
5779903;1681;1.490;68,83
5789329;1680;1.489;69,15
5791448;1664;1.475;74,3
5793704;1633;1.448;84,26
5795961;1649;1.462;79,12
5798218;1649;1.462;79,12
5800482;1681;1.490;68,83
5802731;1649;1.462;79,12
5804988;1665;1.476;73,97
5807245;1681;1.490;68,83
5809501;1665;1.476;73,97
5811758;1681;1.490;68,83
5814015;1665;1.476;73,97
5816271;1665;1.476;73,97
5818528;1681;1.490;68,83
5820785;1664;1.475;74,3
5823042;1664;1.475;74,3
5825298;1665;1.476;73,97
5827555;1664;1.475;74,3
5829812;1664;1.475;74,3
5832068;1680;1.489;69,15
5834325;1665;1.476;73,97
5836582;1617;1.433;89,4
5838839;1648;1.461;79,44
5841095;1680;1.489;69,15
5843352;1680;1.489;69,15
5845609;1649;1.462;79,12
5847865;1649;1.462;79,12
5850122;1680;1.489;69,15
5852379;1665;1.476;73,97
5854636;1664;1.475;74,3
5864057;1665;1.476;73,97
5866180;1681;1.490;68,83
5868436;1712;1.518;58,87
5870693;1648;1.461;79,44
5872950;1665;1.476;73,97
5875206;1649;1.462;79,12
5877463;1681;1.490;68,83
5879720;1632;1.447;84,58
5881977;1649;1.462;79,12
5884233;1665;1.476;73,97
5886490;1648;1.461;79,44
5888747;1664;1.475;74,3
5891003;1648;1.461;79,44
5893260;1664;1.475;74,3
5895517;1664;1.475;74,3
5897774;1681;1.490;68,83
5900030;1664;1.475;74,3
5902287;1664;1.475;74,3
5904544;1664;1.475;74,3
5906800;1681;1.490;68,83
5909057;1648;1.461;79,44
5911314;1648;1.461;79,44
5913571;1680;1.489;69,15
5915827;1649;1.462;79,12
5918084;1728;1.532;53,73
5920341;1632;1.447;84,58
5922598;1664;1.475;74,3
5924854;1648;1.461;79,44
5927111;1665;1.476;73,97
5929368;1681;1.490;68,83
5938794;1665;1.476;73,97
5940912;1681;1.490;68,83
5943169;1680;1.489;69,15
5945425;1680;1.489;69,15
5947682;1680;1.489;69,15
5949939;1665;1.476;73,97
5952195;1680;1.489;69,15
5954452;1681;1.490;68,83
5956709;1649;1.462;79,12
5958965;1649;1.462;79,12
5961222;1649;1.462;79,12
5963479;1664;1.475;74,3
5965736;1649;1.462;79,12
5967992;1664;1.475;74,3
5970249;1649;1.462;79,12
5972506;1681;1.490;68,83
5974763;1680;1.489;69,15
5977019;1617;1.433;89,4
5979276;1665;1.476;73,97
5981533;1664;1.475;74,3
5983789;1681;1.490;68,83
5986046;1680;1.489;69,15
5988303;1664;1.475;74,3
5990560;1648;1.461;79,44
5992816;1681;1.490;68,83
5995073;1680;1.489;69,15
5997330;1681;1.490;68,83
5999586;1680;1.489;69,15
6001843;1713;1.518;58,55
6004100;1681;1.490;68,83
6013523;1649;1.462;79,12
6015644;1665;1.476;73,97
6017900;1664;1.475;74,3
6020157;1665;1.476;73,97
6022414;1665;1.476;73,97
6024671;1664;1.475;74,3
6026927;1648;1.461;79,44
6029184;1665;1.476;73,97
6031441;1648;1.461;79,44
6033698;1664;1.475;74,3
6035954;1649;1.462;79,12
6038211;1664;1.475;74,3
6040475;1648;1.461;79,44
6042725;1648;1.461;79,44
6044981;1681;1.490;68,83
6047238;1665;1.476;73,97
6049494;1649;1.462;79,12
6051751;1696;1.503;64,01
6054008;1665;1.476;73,97
6056265;1728;1.532;53,73
6058521;1649;1.462;79,12
6060778;1649;1.462;79,12
6063035;1664;1.475;74,3
6065291;1633;1.448;84,26
6067548;1681;1.490;68,83
6069805;1664;1.475;74,3
6072062;1649;1.462;79,12
6074319;1665;1.476;73,97
6076575;1664;1.475;74,3
6078832;1648;1.461;79,44
6088258;1681;1.490;68,83
6090376;1681;1.490;68,83
6092633;1681;1.490;68,83
6094889;1681;1.490;68,83
6097146;1664;1.475;74,3
6099403;1664;1.475;74,3
6101660;1681;1.490;68,83
6103916;1648;1.461;79,44
6106173;1648;1.461;79,44
6108430;1649;1.462;79,12
6110686;1681;1.490;68,83
6112943;1681;1.490;68,83
6115200;1681;1.490;68,83
6117457;1664;1.475;74,3
6119713;1681;1.490;68,83
6121970;1665;1.476;73,97
6124227;1664;1.475;74,3
6126483;1633;1.448;84,26
6128740;1712;1.518;58,87
6130997;1681;1.490;68,83
6133254;1664;1.475;74,3
6135510;1696;1.503;64,01
6137767;1665;1.476;73,97
6140024;1648;1.461;79,44
6142281;1664;1.475;74,3
6144537;1649;1.462;79,12
6146794;1649;1.462;79,12
6149051;1680;1.489;69,15
6151307;1664;1.475;74,3
6153564;1680;1.489;69,15
6163013;1665;1.476;73,97
6165108;1665;1.476;73,97
6167365;1680;1.489;69,15
6169621;1648;1.461;79,44
6171878;1665;1.476;73,97
6174135;1648;1.461;79,44
6176392;1664;1.475;74,3
6178648;1649;1.462;79,12
6180905;1665;1.476;73,97
6183162;1665;1.476;73,97
6185419;1665;1.476;73,97
6187675;1664;1.475;74,3
6189932;1665;1.476;73,97
6192188;1664;1.475;74,3
6194445;1649;1.462;79,12
6196702;1649;1.462;79,12
6198959;1665;1.476;73,97
6201215;1681;1.490;68,83
6203472;1665;1.476;73,97
6205729;1664;1.475;74,3
6207986;1648;1.461;79,44
6210242;1648;1.461;79,44
6212499;1665;1.476;73,97
6214756;1681;1.490;68,83
6217013;1680;1.489;69,15
6219269;1680;1.489;69,15
6221526;1664;1.475;74,3
6223783;1696;1.503;64,01
6226039;1649;1.462;79,12
6228296;1664;1.475;74,3
6237718;1665;1.476;73,97
6239840;1664;1.475;74,3
6242097;1680;1.489;69,15
6244354;1664;1.475;74,3
6246610;1680;1.489;69,15
6248867;1664;1.475;74,3
6251124;1665;1.476;73,97
6253380;1681;1.490;68,83
6255637;1664;1.475;74,3
6257894;1616;1.432;89,72
6260151;1664;1.475;74,3
6262407;1664;1.475;74,3
6264664;1664;1.475;74,3
6266921;1633;1.448;84,26
6269177;1648;1.461;79,44
